Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.921233,0.002309,59.3073,1.1653,3558.436667,69.916455
a,0.919140,0.002096,55.6779,1.1353,3340.676667,68.115022
b,0.905327,0.015205,55.6951,1.1823,3341.703333,70.939767
d,0.911940,0.006863,55.6074,1.0571,3336.446667,63.426816
e,0.911260,0.001049,55.6803,1.0293,3340.820000,61.755722
