Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.936473,0.001438,50.6036,0.3387,3036.213333,20.319981
a,0.930747,0.001560,47.0999,0.2748,2825.993333,16.486589
b,0.928227,0.001185,47.1030,0.2560,2826.180000,15.358682
d,0.930047,0.002885,47.1096,0.2995,2826.573333,17.972346
e,0.930460,0.001591,47.0764,0.2988,2824.586667,17.927193
f,0.925553,0.001684,47.3496,0.2852,2840.973333,17.113212
