Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.647650,0.000580,35.0320,2.7349,2101.920000,164.091200
a,0.638940,0.004412,35.7947,4.6207,2147.680000,277.242427
b,0.637780,0.007382,34.5536,2.7930,2073.215000,167.577236
d,0.630610,0.005501,34.5140,2.8546,2070.840000,171.275405
e,0.635280,0.006703,34.5720,2.8470,2074.320000,170.822856
f,0.625340,0.004214,34.5482,2.8364,2072.890000,170.186460
