Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.693300,0.000421,43.6099,0.0407,2616.593333,2.441154
a,0.686193,0.002728,40.1868,0.1286,2411.210000,7.717428
b,0.685687,0.002452,40.2002,0.1265,2412.010000,7.591917
d,0.683100,0.002776,40.1870,0.1234,2411.220000,7.402412
e,0.682780,0.005417,40.2006,0.1345,2412.033333,8.072226
f,0.671640,0.003513,40.2794,0.1366,2416.766667,8.198514
