Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.570553,0.002155,28.5952,0.6527,1715.713333,39.160011
a,0.583887,0.003263,22.5029,0.5979,1350.176667,35.874834
b,0.583587,0.006591,22.5007,0.6059,1350.040000,36.354472
d,0.577600,0.001770,22.4950,0.5972,1349.700000,35.830882
e,0.578127,0.007821,22.5005,0.6038,1350.030000,36.228363
f,0.579153,0.002012,38.9829,0.5501,2338.976667,33.005155
