Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.909740,0.002306,30.6896,1.8264,1841.373333,109.581514
a,0.904407,0.002622,30.3292,1.7084,1819.750000,102.504277
b,0.903320,0.000433,30.3138,1.7135,1818.826667,102.811235
d,0.896213,0.000934,30.3074,1.7016,1818.446667,102.095127
e,0.900953,0.002026,30.3078,1.7214,1818.466667,103.284350
f,0.893833,0.002659,30.3277,1.7120,1819.663333,102.720302
