Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.695393,0.004184,67.5154,0.1499,4050.923333,8.995856
a,0.696880,0.009978,61.5697,0.1648,3694.180000,9.886663
b,0.698133,0.009326,61.5400,0.1574,3692.400000,9.443204
d,0.699027,0.008099,61.4709,0.1612,3688.253333,9.670731
e,0.689853,0.005809,61.5292,0.1683,3691.750000,10.098559
