Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.786587,0.005951,22.5613,0.5299,1353.680000,31.795313
a,0.762033,0.001299,22.2856,0.6018,1337.133333,36.108922
b,0.766153,0.003935,22.2249,0.6014,1333.496667,36.086585
d,0.762527,0.000812,22.2072,0.5941,1332.433333,35.646439
e,0.652687,0.013733,22.2069,0.5914,1332.413333,35.485042
