Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.491933,0.009806,45.5650,0.2181,2733.900000,13.083421
a,0.469627,0.006133,40.5584,0.1600,2433.503333,9.597741
b,0.475733,0.003505,40.5193,0.2311,2431.160000,13.866236
d,0.458067,0.006934,40.5197,0.2218,2431.183333,13.305072
e,0.467293,0.006122,40.5590,0.1867,2433.540000,11.199406
