Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
a,0.870327,0.005075,22.4098,0.7058,1344.586667,42.348708
b,0.873167,0.005614,22.4061,0.7034,1344.366667,42.201356
c,0.879633,0.001734,28.3643,0.7566,1701.860000,45.395819
d,0.868893,0.004081,22.4103,0.7119,1344.616667,42.713904
e,0.869327,0.005911,22.4143,0.7047,1344.856667,42.283680
f,0.866780,0.005681,42.8134,2.5103,2568.806667,150.616270
