Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.910347,0.002367,58.0250,0.1889,3481.500000,11.332709
a,0.915933,0.002866,52.0619,0.1836,3123.716667,11.018132
b,0.915860,0.001770,52.1173,0.1744,3127.036667,10.466453
d,0.917720,0.002259,52.1084,0.1677,3126.503333,10.061219
e,0.909613,0.002419,52.1271,0.1719,3127.623333,10.311476
