Model,Final5_TestAcc_mean,Final5_TestAcc_std,TotalTime(min)_mean,TotalTime(min)_std,TotalTime(s)_mean,TotalTime(s)_std
c,0.735067,0.031264,46.9784,0.1111,2818.706667,6.663373
a,0.783093,0.003912,37.5516,0.1202,2253.096667,7.209884
b,0.782087,0.007341,37.6252,0.1033,2257.510000,6.199323
d,0.780840,0.002810,37.6751,0.1374,2260.503333,8.246419
e,0.762713,0.001218,37.6917,0.1140,2261.500000,6.839744
